联通线路1,#genre#
山东少儿,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11012815083626567264.rsc/89117_Uni.sdp							
山东教育卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118342495301658.rsc/89080_Uni.sdp
湖南卫视,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch12051116352384581471.rsc/89115_Uni.sdp
浙江卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541521964962.rsc/89084_Uni.sdp
东方卫视,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15050917541568689826.rsc/89038_Uni.sdp
江苏卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12051116384379542816.rsc/89099_Uni.sdp
北京卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12051116365437815794.rsc/89064_Uni.sdp
安徽卫视,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15050917541532308683.rsc/89031_Uni.sdp
CCTV-38,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541659846769.rsc/89129_Uni.sdp
CCTV-39,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541756096231.rsc/89054_Uni.sdp
深圳卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12051116392957055081.rsc/89107_Uni.sdp
东南卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17082318094203998689.rsc/89065_Uni.sdp
湖北卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541519800547.rsc/89123_Uni.sdp
广东卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541650823873.rsc/89112_Uni.sdp
CCTV-44,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12051116400952898093.rsc/89019_Uni.sdp
贵州卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17121814402415050847.rsc/89006_Uni.sdp
CCTV-46,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch17121814385494126166.rsc/89035_Uni.sdp
重庆卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120118293449046768.rsc/89024_Uni.sdp
海南卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120116181598810422.rsc/89022_Uni.sdp
四川卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch11122400393964414144.rsc/89015_Uni.sdp
云南卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120116144658191615.rsc/89067_Uni.sdp
河南卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118312827983078.rsc/89029_Uni.sdp
江西卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118345500084693.rsc/89056_Uni.sdp
广西卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120114524702485505.rsc/89002_Uni.sdp									
陕西卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120118332130518297.rsc/89046_Uni.sdp
CCTV-57,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118290217488762.rsc/89068_Uni.sdp
宁西卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118321878054010.rsc/89118_Uni.sdp
新疆卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120118204473437661.rsc/89023_Uni.sdp
甘肃卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118361020628945.rsc/89048_Uni.sdp
青海卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118273518671654.rsc/89097_Uni.sdp
西藏卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120116213780720306.rsc/89061_Uni.sdp
金鹰卡通,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch11122400412227153064.rsc/89049_Uni.sdp
BTV少儿,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118400576795406.rsc/89128_Uni.sdp									
哈哈炫动,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch11122400404197907033.rsc/89083_Uni.sdp	
兵团卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120116250568011708.rsc/89008_Uni.sdp
厦门卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17120418140581348001.rsc/89021_Uni.sdp
CCTV-77,rtsp://124.128.255.245:1554/iptv/import/Tvod/iptv/001/001/ch16062014270602375204.rsc/72891_Uni.sdp
电视剧1,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch13031310523562855603.rsc/89130_Uni.sdp									
三沙卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch19120615372589393337.rsc/89555_Uni.sdp
体育赛事,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch19120615375703234003.rsc/89611_Uni.sdp
CHC家庭影院,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch18120514091718394256.rsc/89087_Uni.sdp
CHC动作电影,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch18120514100139517699.rsc/89012_Uni.sdp
CHC高清电影,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch18120514102191199606.rsc/89076_Uni.sdp
联通线路3,#genre#
CCTV-1-高清,http://172.16.1.254:11111/rtp/239.253.254.77:8000
CCTV-2-高清,http://172.16.1.254:11111/rtp/239.253.254.232:8000
CCTV-3,http://172.16.1.254:11111/rtp/239.253.254.4:8000
CCTV-4,http://172.16.1.254:11111/rtp/239.253.254.5:8000
CCTV-5,http://172.16.1.254:11111/rtp/239.253.254.6:8000
CCTV-5＋-高清,http://172.16.1.254:11111/rtp/239.253.254.80:8000
CCTV-6,http://172.16.1.254:11111/rtp/239.253.254.7:8000
CCTV-7-高清,http://172.16.1.254:11111/rtp/239.253.254.233:8000
CCTV-8,http://172.16.1.254:11111/rtp/239.253.254.9:8000
CCTV-9-高清,http://172.16.1.254:11111/rtp/239.253.254.79:8000
CCTV-10,http://172.16.1.254:11111/rtp/239.253.254.11:8000
CCTV-11,http://172.16.1.254:11111/rtp/239.253.254.12:8000
CCTV-12-高清,http://172.16.1.254:11111/rtp/239.253.254.235:8000
CCTV-13,http://172.16.1.254:11111/rtp/239.253.254.14:8000
CCTV-14-高清,http://172.16.1.254:11111/rtp/239.253.254.236:8000
CCTV-15,http://172.16.1.254:11111/rtp/239.253.254.16:8000
CCTV-NEWS,http://172.16.1.254:11111/rtp/239.253.254.17:8000
QTV-1-高清,http://172.16.1.254:11111/rtp/239.253.254.249:8000
QTV-2-高清,http://172.16.1.254:11111/rtp/239.253.254.250:8000
